Υπηρεσία;Παροχή;Τοποθεσία;Τηλεφωνο;Επικοινωνία;Website;Ώρεσ λειτουργίας;Διεύθυνση;Πληροφορίες
Δήμος Βορείων Τζουμέρκων;Δημοσια;Πράμαντα, 44001;26590 61421;info@voreiatzoumerka.gr;https://www.voreiatzoumerka.gr/;9 π.μ. έως τις 5 μ.μ;https://maps.app.goo.gl/BGpf2e4QCUZJJtzd6;
Αστυνομικό Τμήμα Βορείων Τζουμέρκων;Δημοσια;Πράμαντα, 44001;2659 061205;at.vorion.tzoumerkon@astynomia.gr;Μη διαθέσιμο;;https://maps.app.goo.gl/87WHc5KAdP86kVwA7;
Πυροσβεστικό κλιμάκιο Πραμάντων;Δημοσια;Πράμαντα, 44001;199;Μη διαθέσιμο;Μη διαθέσιμο;;Πράμαντα 440 01;
ΕΛΤΑ Πραμάντων;Δημοσια;Πράμαντα, 44001;2659061210;Μη διαθέσιμο;https://www.elta.gr/;Δε, Τρ, Πέμ 10.30-14.45. Τετ, Παρ 07.30-14.45;https://maps.app.goo.gl/PW5D5kCU9naiayC49;
ΑΤΜ;Τράπεζα Ηπείρου;Πράμαντα, 44001;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;;https://maps.app.goo.gl/9LoPdiiMyD94pfFw6;
Κέντρο Υγείας Πραμάντων;Δημοσια;Πράμαντα, 44001;2659360100;https://www.facebook.com/p/%CE%9A%CE%AD%CE%BD%CF%84%CF%81%CE%BF-%CE%A5%CE%B3%CE%B5%CE%AF%CE%B1%CF%82-%CE%A0%CF%81%CE%B1%CE%BC%CE%AC%CE%BD%CF%84%CF%89%CE%BD-61556604295928/;https://pfy.dypede.gr/ky-pramanton/;;https://maps.app.goo.gl/HXR6KfDkezrx3umr8;
 Γιαννηρίζος Γεώργιος;Βενζινάδικο;Πράμαντα, 44001;2659062000;Μη διαθέσιμο;Μη διαθέσιμο;8 π.μ. έως τις 9 μ.μ.;https://maps.app.goo.gl/3BafKoez3FoX5viaA;
Χρύσης Ανδρέας;Βενζινάδικο;Γέφυρα Πλάκας, 47043;2685031310;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;https://maps.app.goo.gl/SsGMCAuyfEaBDS8s6;
Γιούλης Βασίλειος;Υπηρεσίες ταξί;Πράμαντα;2659061263;bgioulis75@gmail.com;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;
ΜΠΟΓΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ;Υπηρεσίες VIP Ταξί Τζουμέρκα;Πράμαντα, 44001;Μη διαθέσιμο;kostas.mpogdos@yahoo.gr;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;
Mini Market ΓΚΕΣΟΥΛΗΣ;Μάρκετ;Πράμαντα, 44001;2659061241;Μη διαθέσιμο;Μη διαθέσιμο;Δευτέρα έως Σάββατο 8:00 π.μ. έως 2:00 μ.μ. και 5.30μμ έως 8.00μμ, Κυριακή 9.00 έως 2.00μμ;https://maps.app.goo.gl/kQ1cEkpcLy47XKYJA;Τσιγάρα, είδη σούπερ μάρκετ
Mini Market ΒΑΝΑΣ;Μάρκετ;Πράμαντα, 44001;2659062171;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;https://maps.app.goo.gl/zgHLDv2LgvDeAA2j6;Είδη σούπερ μάρκετ
Καλούδια στα Πράμαντα;Εργαστήρι ζαχαροπλαστικής;Πράμαντα, 44001;2659061126;Μη διαθέσιμο;Μη διαθέσιμο;9:00 π.μ έως 5:00 μ.μ.;https://maps.app.goo.gl/Fy4ntwMVcYSy1w2o9;χειροποίητα γλυκά, μαρμελάδες, παραδοσιακά γλυκα, αγνά υλικά
Παραδοσιακά Προϊόντα της Χρυσούλας;Παραδοσιακά προιόντα;Πράμαντα, 44001;2659062087;Μη διαθέσιμο;Μη διαθέσιμο;8:00 π.μ.έως 4:00 μ.μ.;https://maps.app.goo.gl/aeBWMxy2MNVAbGin8;ζυμαρικά χειροποίητα, μαρμελάδες, σάλτσες, παραδοσιακά προιόντα
"ΑΡΤΟΠΟΙΕΙΟ - ΦΟΥΡΝΟΣ ""ΠΑΝΟΣ ΧΡΗΣΤΟΣ"" Αρτοποιείο";Φούρνος;Πράμαντα, 44001;2659061791;Μη διαθέσιμο;Μη διαθέσιμο;"Δευτέρα έως Παρασκευή 5:00 π.μ.–2:00 μ.μ., Σάββατο 8:00 π.μ.–2:00 μ.μ. και
6:00–8:00 μ.μ.. Κυριακή κλειστά";https://maps.app.goo.gl/yMoDYfK2nPk411nY8;Φρέσκο ψωμί καθημερινά, γευστικά προιόντα άρτου κάθε μέρα. 
"Κομμώσεις ""Χριστίνα""";Κομμωτήριο;Πράμαντα, 44001;6977425135;Μη διαθέσιμο;https://www.facebook.com/christinaliontou81/;Μη διαθέσιμο;https://maps.app.goo.gl/u96S5KRwa5wLup299;Κομμώσεις
Κατάστημα ΟΠΑΠ;ΟΠΑΠ;Πράμαντα, 44001;2659061311;Μη διαθέσιμο;Μη διαθέσιμο;8.30 πμ έως 3.00μμ και 5.00μμ έως 10.30μμ;https://maps.app.goo.gl/ScB3RZWLPjLNV68u7;
Φαρμακείο - ΤΣΙΚΕΛΗΣ ΑΧΙΛΛΕΑΣ;Φαρμακείο;Πράμαντα, 44001;2659061888;Μη διαθέσιμο;Μη διαθέσιμο;Δευτέρα έως Σάββατο 9:30πμ έως 2.00μμ και 6.00μμ έως 8.00μμ ;https://maps.app.goo.gl/tt8uWHF9j9qAJums8;
"Τυροκομικά Προϊόντα ""Το Τζουμερκιώτικο"" Μπούτζας";Τυροκομείο;Πράμαντα, 44001;2659061465;Μη διαθέσιμο;https://www.facebook.com/totzoumerkiotiko/?locale=el_GR;Μη διαθέσιμο;https://maps.app.goo.gl/ZDvHzWij24pgyh6u8;Τοπικά τυροκομικά προιόντα, σουβενίρ
Κρεοπωλείο Ι. Τσαμπουλας;Κρεοπωλείο;Πράμαντα, 44001;2659062347;Μη διαθέσιμο;Μη διαθέσιμο;Μη διαθέσιμο;https://maps.app.goo.gl/9USsXYVpbmLAP2f39;Ντόπια κρέατα
Μάρκετ Πανταζής;Μάρκετ;Γέφυρα Πλάκας, 47043;2685031388;Μη διαθέσιμο;Μη διαθέσιμο;Δευτέρα έως Κυριακή 9.00πμ έως 9.00μμ;https://maps.app.goo.gl/r5sqKdmocVFsuZSZ8;Είδη σούπερ μάρκετ
Pantazis Mini Market;Μάρκετ;Πλαίσια;2659022525;Μη διαθέσιμο;Μη διαθέσιμο;7.30πμ έως 4.00μμ και 6.00μμ έως 11.30μμ;https://maps.app.goo.gl/esnPcWEpypx76RKg9;Είδη παντοπωλείου
