Name;Village;Category;Google_Rating;Phone;Website;Social;google_maps_link;Specialties;Price;Type;Parking;Outdoor_Seating;Reservations;Season;Extra_Info;Photo
Δήμος Βορείων Τζουμέρκων;Πράμαντα, 44001;Δημοσια;Unavailable;26590 61421;https://www.voreiatzoumerka.gr/;Unavailable;https://maps.app.goo.gl/BGpf2e4QCUZJJtzd6;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;9 π.μ. έως τις 5 μ.μ;Unavailable;Unavailable
Αστυνομικό Τμήμα Βορείων Τζουμέρκων;Πράμαντα, 44001;Δημοσια;Unavailable;2659 061205;Unavailable;Unavailable;https://maps.app.goo.gl/87WHc5KAdP86kVwA7;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Πυροσβεστικό κλιμάκιο Πραμάντων;Πράμαντα, 44001;Δημοσια;Unavailable;199;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
ΕΛΤΑ Πραμάντων;Πράμαντα, 44001;Δημοσια;Unavailable;2659061210;https://www.elta.gr/;Unavailable;https://maps.app.goo.gl/PW5D5kCU9naiayC49;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Δε, Τρ, Πέμ 10.30-14.45. Τετ, Παρ 07.30-14.45;Unavailable;Unavailable
ΑΤΜ;Πράμαντα, 44001;Τράπεζα Ηπείρου;Unavailable;Unavailable;Unavailable;Unavailable;https://maps.app.goo.gl/9LoPdiiMyD94pfFw6;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Κέντρο Υγείας Πραμάντων;Πράμαντα, 44001;Δημοσια;Unavailable;2659360100;https://pfy.dypede.gr/ky-pramanton/;https://www.facebook.com/p/%CE%9A%CE%AD%CE%BD%CF%84%CF%81%CE%BF-%CE%A5%CE%B3%CE%B5%CE%AF%CE%B1%CF%82-%CE%A0%CF%81%CE%B1%CE%BC%CE%AC%CE%BD%CF%84%CF%89%CE%BD-61556604295928/;https://maps.app.goo.gl/HXR6KfDkezrx3umr8 ;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Γιαννηρίζος Γεώργιος;Πράμαντα, 44001;Βενζινάδικο;Unavailable;2659062000;Unavailable;Unavailable;https://maps.app.goo.gl/3BafKoez3FoX5viaA;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;8 π.μ. έως τις 9 μ.μ.;Unavailable;Unavailable
Χρύσης Ανδρέας;Γέφυρα Πλάκας, 47043;Βενζινάδικο;Unavailable;2685031310;Unavailable;Unavailable;https://maps.app.goo.gl/SsGMCAuyfEaBDS8s6;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Γιούλης Βασίλειος;Πράμαντα;Υπηρεσίες ταξί;Unavailable;2659061263;Unavailable;bgioulis75@gmail.com;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;
ΜΠΟΓΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ;Πράμαντα, 44001;Υπηρεσίες VIP Ταξί Τζουμέρκα;Unavailable;Unavailable;Unavailable;kostas.mpogdos@yahoo.gr;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Mini Market ΓΚΕΣΟΥΛΗΣ;Πράμαντα, 44001;Μάρκετ;Unavailable;2659061241;Unavailable;Unavailable;https://maps.app.goo.gl/kQ1cEkpcLy47XKYJA;Τσιγάρα, είδη σούπερ μάρκετ;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Δευτέρα έως Σάββατο 8:00 π.μ. έως 2:00 μ.μ. και 5.30μμ έως 8.00μμ, Κυριακή 9.00 έως 2.00μμ;Unavailable;Unavailable
Mini Market ΒΑΝΑΣ;Πράμαντα, 44001;Μάρκετ;Unavailable;2659062171;Unavailable;Unavailable;https://maps.app.goo.gl/zgHLDv2LgvDeAA2j6;Είδη σούπερ μάρκετ;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
Καλούδια στα Πράμαντα;Πράμαντα, 44001;Εργαστήρι ζαχαροπλαστικής;Unavailable;2659061126;Unavailable;Unavailable;https://maps.app.goo.gl/Fy4ntwMVcYSy1w2o9;χειροποίητα γλυκά, μαρμελάδες, παραδοσιακά γλυκα, αγνά υλικά;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;9:00 π.μ έως 5:00 μ.μ.;Unavailable;Unavailable
Παραδοσιακά Προϊόντα της Χρυσούλας;Πράμαντα, 44001;Παραδοσιακά προιόντα;Unavailable;2659062087;Unavailable;Unavailable;https://maps.app.goo.gl/aeBWMxy2MNVAbGin8;ζυμαρικά χειροποίητα, μαρμελάδες, σάλτσες, παραδοσιακά προιόντα;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;8:00 π.μ.έως 4:00 μ.μ.;Unavailable;Unavailable
"ΑΡΤΟΠΟΙΕΙΟ - ΦΟΥΡΝΟΣ ""ΠΑΝΟΣ ΧΡΗΣΤΟΣ"" Αρτοποιείο";Πράμαντα, 44001;Φούρνος;Unavailable;2659061791;Unavailable;Unavailable;https://maps.app.goo.gl/yMoDYfK2nPk411nY8;Φρέσκο ψωμί καθημερινά, γευστικά προιόντα άρτου;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Δευτέρα έως Παρασκευή 5:00 π.μ.–2:00 μ.μ., Σάββατο 8:00 π.μ.–2:00 μ.μ. και 6:00–8:00 μ.μ.. Κυριακή κλειστά;Unavailable;Unavailable
"Κομμώσεις ""Χριστίνα""";Πράμαντα, 44001;Κομμωτήριο;Unavailable;6977425135;Unavailable;https://www.facebook.com/christinaliontou81/;https://maps.app.goo.gl/u96S5KRwa5wLup299;Κομμώσεις;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable;Unavailable
