Name;Village;Category;Google_Rating;Phone;Website;Social;google_maps_link;Specialties;Price;Type;Parking;Outdoor_Seating;Reservations;Season;Extra_Info;Photo
Σπήλαιο Ανεμότρυπας;Πράμαντα;Σπήλαιο / Φυσικό Αξιοθέατο;4,7;6949231710;https://voreiatzoumerka.gr/images/pdf/spileo.pdf;;https://www.google.com/maps/place/%CE%A3%CF%80%CE%AE%CE%BB%CE%B1%CE%B9%CE%BF+%CE%91%CE%BD%CE%B5%CE%BC%CF%8C%CF%84%CF%81%CF%85%CF%80%CE%B1/@39.5132281,21.0844168,17z/data=!3m1!4b1!4m6!3m5!1s0x135be2847d36d5a9:0x37ab180c3ef5bc44!8m2!3d39.5132281!4d21.0869917!16s%2Fg%2F121_jdn0?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Διαθέσιμο;;Επισκέψιμο;Λειτουργεί κατά την διάρκεια του έτους, πρωινές και μεσημεριανές ώρες. Ανοίγει 10:00;Εντυπωσιακό σπήλαιο διασχιζόμενο από υπόγειο ποταμό. Τρία επίπεδα, με το μεσαίο (270μ.) επισκέψιμο με πολύχρωμους σταλαγμίτες και τρεις λίμνες. Βρίσκεται σε υψόμετρο 900μ., 5χλμ. από τα Πράμαντα.;
Ιερά Μονή Κηπίνας;Κηπίνα (κοντά στους Καλαρρύτες);Μοναστήρι / Θρησκευτικό Μνημείο;4,8;;https://voreiatzoumerka.gr/index.php/touristikos-proorismos/fysi-mnimeia/monastiria-ekklisies/2015-13;;https://www.google.com/maps/place/%CE%99%CE%B5%CF%81%CE%AC+%CE%9C%CE%BF%CE%BD%CE%AE+%CE%9A%CE%B7%CF%80%CE%AF%CE%BD%CE%B1%CF%82/@39.5675416,21.1276188,17z/data=!4m14!1m7!3m6!1s0x13595f234a89f54d:0x36ca93cf9ef150cc!2zzpnOtc-BzqwgzpzOv869zq4gzprOt8-Azq_Ovc6xz4I!8m2!3d39.5675375!4d21.1301937!16s%2Fg%2F1tjh1jh_!3m5!1s0x13595f234a89f54d:0x36ca93cf9ef150cc!8m2!3d39.5675375!4d21.1301937!16s%2Fg%2F1tjh1jh_?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Διαθέσιμο;;Επισκέψιμο (κλειδιά από το καφενείο της Κηπίνας).;Λειτουργεί κατά την διάρκεια του έτους, πρωινές και μεσημεριανές ώρες. Ανοίγει 9:30;Μοναδική Μονή του 13ου αιώνα χτισμένη μέσα σε κοίλωμα απόκρημνου βράχου. Πρόσβαση μέσω ξύλινης γέφυρας λαξευμένης στον βράχο πάνω από το φαράγγι του Καλαρρύτικου ποταμού. Λειτούργησε ως κρησφύγετο κατά την Τουρκοκρατία.;
Γεφύρι Πλάκας;Πλάκα (Άραχθος Ποταμός);Ιστορική Γέφυρα / Τεχνικό Έργο;4,9;;https://el.wikipedia.org/wiki/%CE%93%CE%B5%CF%86%CF%8D%CF%81%CE%B9_%CF%84%CE%B7%CF%82_%CE%A0%CE%BB%CE%AC%CE%BA%CE%B1%CF%82;;https://www.google.com/maps/place/%CE%A0%CE%AD%CF%84%CF%81%CE%B9%CE%BD%CE%BF+%CE%93%CE%B5%CF%86%CF%8D%CF%81%CE%B9+%CE%A0%CE%BB%CE%AC%CE%BA%CE%B1%CF%82/@39.4605704,21.0275319,17z/data=!4m14!1m7!3m6!1s0x135bfcf1be600ab5:0x4845897a510c5054!2zzqDOrc-Ez4HOuc69zr8gzpPOtc-Gz43Pgc65IM6gzrvOrM66zrHPgg!8m2!3d39.4605663!4d21.0301068!16s%2Fm%2F012rcjv4!3m5!1s0x135bfcf1be600ab5:0x4845897a510c5054!8m2!3d39.4605663!4d21.0301068!16s%2Fm%2F012rcjv4?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Διαθέσιμο;;Πάντα προσβάσιμη;Λειτουργεί όλο το χρόνο;Η μεγαλύτερη μονότοξη πέτρινη γέφυρα των Βαλκανίων. Ανακατασκευασμένη μετά την κατάρρευση του 2015. Ιστορικό διατηρητέο μνημείο και σημείο εκκίνησης για ράφτινγκ και κανό. Βραβεύτηκε από την Europa Nostra το 2021.;
Καταρράκτες Καταρράκτη;Καταρράκτης;Καταρράκτης / Φυσικό Αξιοθέατο;4,7;;;;https://www.google.com/maps/place/%CE%9A%CE%B1%CF%84%CE%B1%CF%81%CF%81%CE%AC%CE%BA%CF%84%CE%B5%CF%82+%CE%A4%CE%B6%CE%BF%CF%85%CE%BC%CE%AD%CF%81%CE%BA%CF%89%CE%BD/@39.457998,21.121552,17z/data=!4m6!3m5!1s0x135957941f4f2e69:0x6b0440ff8222bd1b!8m2!3d39.4579939!4d21.1241269!16s%2Fg%2F11dxl80lmy?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Διαθέσιμο;;Πάντα προσβάσιμοι;Λειτουργεί όλο το χρόνο;Δύο δίδυμοι καταρράκτες ύψους έως 100μ. Προσβάσιμοι μέσω βατής διαδρομής με σκαλιά. Θέα προς τον Άραχθο. Βρίσκονται σε υψόμετρο 1360μ., 7χλμ. από το χωριό Καταρράκτης. Καλύτερη εποχή για επίσκεψη είναι η Άνοιξη;
Ιστορικό Χωριό Συρράκου;Συρράκο;Παραδοσιακός Οικισμός;;;;;;;;;Έξω από τον οικισμό.;;Πάντα προσβάσιμο;;Διατηρητέο χωριό με πέτρινα σπίτια και στέγες από σχιστόλιθο. Γενέτειρα του ποιητή Κώστα Κρυστάλλη και Ιωαννή Κωλέττη (πρώτος κοινοβουλευτικός πρωθυπουργός σύγχρονου ελληνικού κράτους). Απαγορεύεται η είσοδος αυτοκινήτων. Συνδέεται με Καλαρρύτες μέσω εντυπωσιακού μονοπατιού (2 ώρες). ;
Ιστορικό Χωριό Καλαρρυτών;Καλαρρύτες;Παραδοσιακός Οικισμός;;;;;;;;;Έξω από τον οικισμό.;;Πάντα προσβάσιμο;;Ορεινός οικισμός, πατρίδα του οίκου BULGARI. Γνωστός για την αργυροχοΐα. Λαογραφικό Μουσείο με τα πρώτα χειροποίητα κοσμήματα του Σωτήριου Βούλγαρη. Χτισμένο σε υψόμετρο 1200μ.;
Ιερά Μονή Βύλιζας;Ματσούκι;Μοναστήρι / Θρησκευτικό Μνημείο;;;;;;;;;;;Επισκέψιμο;;Ανδρικό μοναστήρι 11ου αιώνα με θέα στη χαράδρα. Εντυπωσιακή τοιχογραφία του 1737 και ξυλόγλυπτο τέμπλο. Βρίσκεται μεταξύ Καλαρρυτών και Ματσουκίου.;
Καταρράκτης Κεφαλόβρυσο;Μελισσουργοί;Καταρράκτης / Φυσικό Αξιοθέατο;5,0;;;;https://www.google.com/maps/place/%CE%9A%CE%B1%CF%84%CE%B1%CF%81%CF%81%CE%AC%CE%BA%CF%84%CE%B7%CF%82+%CE%9A%CE%B5%CF%86%CE%B1%CE%BB%CF%8C%CE%B2%CF%81%CF%85%CF%83%CE%BF%CF%85/@39.4893397,21.1298629,14.11z/data=!4m14!1m7!3m6!1s0x135959ea45afbe8f:0x422e1151c7e2488a!2zzprOsc-EzrHPgc-BzqzOus-EzrfPgiDOms61z4bOsc67z4zOss-Bz4XPg86_z4U!8m2!3d39.4997974!4d21.1267712!16s%2Fg%2F11kqr3tqmw!3m5!1s0x135959ea45afbe8f:0x422e1151c7e2488a!8m2!3d39.4997974!4d21.1267712!16s%2Fg%2F11kqr3tqmw?hl=el-GR&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Μη διαθεσιμο;;Πάντα προσβάσιμος;;Ένας από τους μεγαλύτερους καταρράκτες της Ελλάδας (350μ.). Απαιτεί σύντομη πεζοπορία. Η θέα είναι πιο εντυπωσιακή την άνοιξη. Ιδανικό σημείο για πεζοπορία.;
Βρύση Αράπη;Πράμαντα;Ιστορική Βρύση / Σημείο ενδιαφέροντος;;;https://voreiatzoumerka.gr/index.php/touristikos-proorismos/i-perioxi/xoria/2015-10-14-07-22-16;;;;;;Μη διαθέσιμο;;Πάντα προσβάσιμη;Λειτουργεί όλο το χρόνο;Περίφημη πέτρινη κρήνη του 1887, έργο του πρωτομάστορα Β. Γεωργάκη. Το νερό αναβλύζει από ολόγλυφη πέτρινη ανθρώπινη κεφαλή. Στην κεντρική πλατεία Πραμάντων.;
Ιερά Μονή Αγίας Παρασκευής;Πράμαντα (προς Μελισσουργούς);Μοναστήρι / Ιστορικό Μνημείο;4,7;;https://voreiatzoumerka.gr/index.php/touristikos-proorismos/fysi-mnimeia/monastiria-ekklisies/2015-6;;https://www.google.com/maps/place/%CE%99%CE%B5%CF%81%CE%AC+%CE%9C%CF%8C%CE%BD%CE%B7+%CE%91%CE%B3%CE%AF%CE%B1%CF%82+%CE%A0%CE%B1%CF%81%CE%B1%CF%83%CE%BA%CE%B5%CF%85%CE%AE%CF%82+%CE%A0%CF%81%CE%B1%CE%BC%CE%AC%CE%BD%CF%84%CF%89%CE%BD/@39.5132156,21.1257807,16.15z/data=!4m6!3m5!1s0x135958f7bf8c9811:0xc5d234d22d429019!8m2!3d39.5145582!4d21.127249!16s%2Fg%2F12hm3npft?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D;;;;Διαθέσιμο;Χώρος αναψυχής;Επισκέψιμο. ;Λειτουργεί όλο το χρόνο. Προσοχή στα ωράρια καθώς το μοναστήρι είναι κατοικίσμο και δεν δέχεται επισκέψεις όλο το 24ωρο.;Μοναστήρι του 1876 με θέα στη Στρογγούλα. Λειτούργησε ως νοσοκομείο ανταρτών στη Γερμανική Κατοχή. Ο περιβάλλων χώρος ιδανικός για αναψυχή, υπάρχει και παιδική χαρά για παιδιά.;
